rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
1,"1-комн. кв., 37,33 м², 6/18 этаж",Секция 4 • Сдача корпуса 2 кв. 2023,Спартак,5 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к7,16 781 328 ₽,https://www.cian.ru/sale/flat/279550175/
1,Окна на реку и двор,"1-комн. кв., 42,4 м², 14/43 этаж",Шелепиха,14 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к7,16 500 000 ₽,https://www.cian.ru/sale/flat/289031712/
1,"1-комн. кв., 47,6 м², 7/21 этаж",Сдача корпуса 4 кв. 2023,Стрешнево,10 минут пешком,Москва,СЗАО,р-н Щукино,Щукинская улица,7/9С7,20 540 352 ₽,https://www.cian.ru/sale/flat/288319597/
1,Шикарный Вид на Реку!,"1-комн. кв., 32 м², 24/24 этаж",Шелепиха,14 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3,20 800 000 ₽,https://www.cian.ru/sale/flat/286193432/
1,"1-комн. кв., 52,4 м², 3/22 этаж",Секция 1 • Сдача корпуса 3 кв. 2024,Спартак,14 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Клубный Город на Реке Примавера ЖК,30 460 120 ₽,https://www.cian.ru/sale/flat/275396072/
1,"1-комн. кв., 31,1 м², 25/58 этаж",,Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К2,17 100 000 ₽,https://www.cian.ru/sale/flat/287551076/
1,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,21 228 165 ₽,https://www.cian.ru/sale/flat/286272434/
1,Лучшая ЦЕНА I Новый ремонт,"1-комн. кв., 37,5 м², 20/58 этаж",Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К2,20 800 000 ₽,https://www.cian.ru/sale/flat/286398211/
1,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,10 815 517 ₽,https://www.cian.ru/sale/flat/284889193/
1,Полностью меблирована! Спец-цена!,"1-комн. кв., 29 м², 27/48 этаж",Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К3,16 400 000 ₽,https://www.cian.ru/sale/flat/281435777/
