rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
9,"Студия, 25,53 м², 5/25 этаж",Секция 1 • Сдача корпуса 2 кв. 2023,Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к11,12 514 883 ₽,https://www.cian.ru/sale/flat/274202243/,2023,25.0,-1,-1,5,25,Новостройка,Монолитно-кирпичный,-1,"3,02 м",Бизнес,y
9,Срочная продажа! Торг!,"Студия, 28 м², 10/25 этаж",Октябрьское поле,20 минут пешком,Москва,СЗАО,р-н Щукино,улица Берзарина,30Б,12 500 000 ₽,https://www.cian.ru/sale/flat/286825515/,2022,28.0,15.0,9.0,10,25,Вторичка,Монолитный,1 совмещенный,"2,8 м",-1,y
9,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,15 677 280 ₽,https://www.cian.ru/sale/flat/286272438/,2023,20.0,7.0,6.0,2,11,Новостройка,Монолитный,1 совмещенный,"2,95 м",-1,y
9,"Апарт-студия, 35 м², 23/30","Апартаменты-студия, 35 м², 23/30 этаж",Шелепиха,16 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1зд4,13 899 000 ₽,https://www.cian.ru/sale/flat/287903445/,2018,35.0,18.0,4.0,23,30,Вторичка Апартаменты,Монолитный,1 совмещенный,"3,2 м",-1,y
9,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,7 111 470 ₽,https://www.cian.ru/sale/flat/285554834/,2024,21.0,14.0,-1,21,24,Новостройка Апартаменты,Монолитный,1 совмещенный,3 м,Бизнес,y
9,МИЦ Трейд-ин. С РЕМОНТОМ,"Апартаменты-студия, 20,07 м², 21/28 этаж",Пятницкое шоссе,15 минут пешком,Москва,СЗАО,р-н Митино,Пятницкое шоссе,58,4 642 000 ₽,https://www.cian.ru/sale/flat/274957054/,2023,20.0,-1,-1,21,28,Новостройка Апартаменты,Монолитный,1 совмещенный,-1,-1,y
9,Скидки 18% на готовые планировки,Сдан,Спартак,5 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,71/22к3,8 430 668 ₽,https://www.cian.ru/sale/flat/286643664/,2022,27.0,15.0,-1,14,22,Новостройка Апартаменты,Монолитно-кирпичный,-1,"2,87 м",Комфорт,y
9,"Студия, 24,65 м² ЖК ""Alia""","Студия, 25 м², 7/26 этаж",Спартак,7 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к6,12 300 000 ₽,https://www.cian.ru/sale/flat/285857734/,2023,25.0,12.0,3.0,7,26,Новостройка,Монолитный,-1,3 м,-1,y
9,"Студия, 28 м², 8/21 этаж",Сдан,Карамышевская,17 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к1,12 315 240 ₽,https://www.cian.ru/sale/flat/288828238/,2023,28.0,15.0,5.0,8,21,Новостройка,Монолитный,1 совмещенный,"3,1 м",Бизнес,y
9,"Студия, 18 м², 18/32 этаж",,Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10Б,10 980 000 ₽,https://www.cian.ru/sale/flat/286545788/,2023,18.0,9.0,4.0,18,32,Новостройка,Монолитный,1 совмещенный,-1,-1,y
