ID;Station;Line;AdmArea;District;MCDStation;AeroexpressStation;RailwayStation;RailwayTerminal;ObjectStatus;global_id
212;Селигерская;Люблинско-Дмитровская линия;Северный административный округ;Бескудниковский район;;;;[];действует;58702117
133;Авиамоторная;Калининская линия;Юго-Восточный административный округ;район Лефортово;;;"[{""value"": ""Авиамоторная"", ""global_id"": 1132155548}]";[];действует;58702107
18;Проспект Вернадского;Сокольническая линия;Западный административный округ;район Проспект Вернадского;;;;[];действует;58702197
39;Речной вокзал;Замоскворецкая линия;Северный административный округ;район Левобережный;;;;[];действует;58702187
301;Озёрная;Солнцевская линия;Западный административный округ;район Очаково-Матвеевское;;;;[];действует;886123736
308;Филатов луг;Сокольническая линия;Новомосковский административный округ;поселение Сосенское;;;;[];действует;930063626
82;Новослободская;Кольцевая линия;Центральный административный округ;Тверской район;;;;[];действует;58702000
316;Народное Ополчение;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники;;;;[];действует;1103704696
106;Коньково;Калужско-Рижская линия;Юго-Западный административный округ;район Тёплый Стан;;;;[];действует;58702207
275;Белокаменная;Московское центральное кольцо;Восточный административный округ;район Богородское;;;;[];действует;277904756
102;Профсоюзная;Калужско-Рижская линия;Юго-Западный административный округ;Академический район;;;;[];действует;58702043
286;Кутузовская;Московское центральное кольцо;Западный административный округ;район Дорогомилово;;;;[];действует;277904743
127;Рязанский проспект;Таганско-Краснопресненская линия;Юго-Восточный административный округ;Рязанский район;;;;[];действует;58702223
118;Баррикадная;Таганско-Краснопресненская линия;Центральный административный округ;Пресненский район;;;;[];действует;58702213
109;Новоясеневская;Калужско-Рижская линия;Юго-Западный административный округ;район Ясенево;;;;[];действует;58702203
165;Сретенский бульвар;Люблинско-Дмитровская линия;Центральный административный округ;Красносельский район;;;;[];действует;58702183
140;Владыкино;Серпуховско-Тимирязевская линия;Северо-Восточный административный округ;район Отрадное;;;;[];действует;58702173
232;Стахановская;Некрасовская линия;Юго-Восточный административный округ;Рязанский район;;;;[];действует;58702163
194;Румянцево;Сокольническая линия;Новомосковский административный округ;поселение Московский;;;;[];действует;58702153
195;Саларьево;Сокольническая линия;Западный административный округ;район Солнцево;;;;[];действует;58702143
246;Мичуринский проспект;Большая кольцевая линия;Западный административный округ;район Раменки;;;;[];действует;58702123
171;Печатники;Люблинско-Дмитровская линия;Юго-Восточный административный округ;район Печатники;"[{""value"": ""Печатники"", ""global_id"": 2372331630}]";;"[{""value"": ""Печатники"", ""global_id"": 2370945789}]";[];действует;58702221
13;Парк культуры;Сокольническая линия;Центральный административный округ;район Хамовники;;;;[];действует;58702060
189;Улица Академика Королёва;Московская монорельсовая транспортная система;Северо-Восточный административный округ;Останкинский район;;;;[];действует;58702070
157;Южная;Серпуховско-Тимирязевская линия;Южный административный округ;район Чертаново Центральное;;;;[];действует;58702145
148;Боровицкая;Серпуховско-Тимирязевская линия;Центральный административный округ;район Арбат;;;;[];действует;58702185
266;Солнцево;Солнцевская линия;Западный административный округ;район Солнцево;;;;[];действует;58702119
268;Новопеределкино;Солнцевская линия;Западный административный округ;район Ново-Переделкино;;;;[];действует;58701992
176;Борисово;Люблинско-Дмитровская линия;Южный административный округ;район Зябликово;;;;[];действует;58702012
43;Партизанская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово;;;;[];действует;58702032
230;Авиамоторная;Большая кольцевая линия;Юго-Восточный административный округ;район Лефортово;;;"[{""value"": ""Авиамоторная"", ""global_id"": 1132155548}]";[];действует;58702035
155;Севастопольская;Серпуховско-Тимирязевская линия;Юго-Западный административный округ;район Зюзино;;;;[];действует;58702042
242;Мнёвники;Большая кольцевая линия;Северо-Западный административный округ;район Хорошёво-Мнёвники;;;;[];действует;58702004
42;Измайловская;Арбатско-Покровская линия;Восточный административный округ;район Измайлово;;;;[];действует;58702052
206;Котельники;Таганско-Краснопресненская линия;Юго-Восточный административный округ;район Выхино-Жулебино;;;;[];действует;58702062
233;Окская;Некрасовская линия;Юго-Восточный административный округ;Рязанский район;;;;[];действует;58702129
294;Новохохловская;Московское центральное кольцо;Юго-Восточный административный округ;Нижегородский район;"[{""value"": ""Новохохловская"", ""global_id"": 1059235164}]";;;[];действует;277904753
164;Трубная;Люблинско-Дмитровская линия;Центральный административный округ;Мещанский район;;;;[];действует;58702066
315;Лефортово;Большая кольцевая линия;Юго-Восточный административный округ;район Лефортово;;;;[];действует;1045820903
