iter	RMSE
0	262843.9417
1	253852.6602
2	245354.4115
3	237252.3913
4	229648.9819
5	222539.8622
6	216070.9625
7	209603.0236
8	203423.7624
9	197368.8438
10	191913.1388
11	186672.2744
12	181928.8913
13	177517.9119
14	173298.4465
15	169360.3726
16	165616.439
17	162124.5745
18	158453.3809
19	155484.2938
20	152274.0772
21	149283.2531
22	146457.9867
23	143417.7463
24	140612.3112
25	138203.3323
26	135795.0679
27	133668.7279
28	131371.6754
29	129212.8405
30	127196.8252
31	125299.0747
32	123413.9442
33	121367.6566
34	119607.4722
35	117773.8176
36	116273.1639
37	114551.6577
38	113110.8558
39	111607.386
40	110140.3781
41	108664.1429
42	107247.5819
43	105947.6374
44	104696.0535
45	103474.5263
46	102168.4824
47	100952.0241
48	99824.73061
49	98619.15011
50	97498.11782
51	96418.4435
52	95236.31511
53	94374.12061
54	93285.00696
55	92223.66972
56	91203.4603
57	90151.455
58	89143.11238
59	88189.73346
60	87179.90522
61	86213.60421
62	85294.67043
63	84371.77139
64	83519.12187
65	82640.66105
66	81754.06072
67	80949.47592
68	80674.05914
69	79972.91466
70	79271.58355
71	78538.78635
72	77850.14572
73	77141.56122
74	76281.45671
75	75598.93093
76	74984.2137
77	74252.51759
78	73502.37874
79	72796.0527
80	72144.41041
81	71529.98974
82	71050.37878
83	70431.19935
84	69852.93352
85	69531.79241
86	68908.79686
87	68342.71906
88	67764.13691
89	67199.06569
90	66763.15901
91	66357.04827
92	65949.29987
93	65436.07277
94	64952.20982
95	64458.0875
96	64103.86352
97	63754.65587
98	63312.06013
99	62956.97464
100	62498.0735
101	62369.31629
102	62037.93242
103	61909.99412
104	61448.9128
105	61065.87042
106	60899.78372
107	60647.84867
108	60262.95267
109	59858.2868
110	59442.20924
111	59088.01999
112	58660.32664
113	58414.91985
114	58044.51092
115	57648.56355
116	57544.48597
117	57204.41589
118	56911.67317
119	56880.8042
120	56805.52975
121	56521.63931
122	56154.98568
123	55878.14875
124	55603.94779
125	55586.983
126	55513.83995
127	55492.87295
128	55457.32174
129	55440.01278
130	55366.99391
131	55044.79302
132	55019.87562
133	55004.42926
134	54839.67327
135	54825.49408
136	54557.01287
137	54545.43602
138	54534.12013
139	54517.48565
140	54226.50072
141	53932.53943
142	53592.28946
143	53489.57686
144	53477.70865
145	53469.59729
146	53197.0644
147	52906.79098
148	52895.56478
149	52525.28852
150	52227.37795
151	52217.37709
152	52195.38343
153	52184.35874
154	51955.75004
155	51612.82608
156	51604.80283
157	51220.57997
158	50927.63323
159	50747.62018
160	50441.11682
161	50116.51334
162	49793.32531
163	49784.00439
164	49521.95249
165	49283.10489
166	49030.64789
167	49023.44208
168	48776.09252
169	48626.68774
170	48526.06608
171	48512.66553
172	48246.11378
173	48192.70522
