iter	Passed	Remaining
0	28	28290
1	62	31238
2	247	82290
3	262	65267
4	267	53262
5	398	66009
6	401	56937
7	412	51152
8	523	57694
9	534	52927
10	552	49643
11	711	58582
12	746	56696
13	753	53057
14	891	58513
15	1025	63056
16	1173	67881
17	1303	71093
18	1311	67729
19	1314	64388
20	1439	67085
21	1557	69258
22	1676	71226
23	1691	68781
24	1815	70790
25	1963	73570
26	2107	75960
27	2272	78902
28	2381	79732
29	2506	81027
30	2516	78667
31	2525	76393
32	2656	77841
33	2777	78901
34	2912	80301
35	3033	81223
36	3163	82335
37	3274	82900
38	3397	83710
39	3536	84866
40	3656	85518
41	3788	86424
42	3944	87794
43	4097	89032
44	4234	89857
45	4393	91111
46	4522	91709
47	4653	92295
48	4787	92913
49	4913	93363
50	5061	94175
51	5201	94833
52	5317	95018
53	5324	93283
54	5464	93882
55	5591	94249
56	5731	94817
57	5853	95066
58	5977	95339
59	6098	95548
60	6222	95778
61	6362	96253
62	6487	96493
63	6617	96783
64	6753	97152
65	6893	97553
66	7018	97734
67	7152	98033
68	7155	96543
69	7282	96757
70	7396	96774
71	7505	96743
72	7631	96907
73	7751	96998
74	7877	97154
75	8013	97425
76	8127	97419
77	8249	97514
78	8375	97645
79	8483	97555
80	8602	97598
81	8722	97653
82	8846	97737
83	8961	97719
84	9081	97764
85	9134	97080
86	9255	97130
87	9377	97187
88	9495	97195
89	9624	97311
90	9733	97225
91	9843	97149
92	9961	97147
93	10095	97302
94	10231	97466
95	10363	97586
96	10468	97450
97	10585	97428
98	10714	97516
99	10879	97916
100	11014	98040
101	11024	97059
102	11150	97111
103	11160	96155
104	11286	96207
105	11404	96186
106	11526	96201
107	11559	95475
108	11688	95541
109	11823	95663
110	11944	95664
111	12080	95781
112	12212	95865
113	12340	95909
114	12469	95963
115	12594	95976
116	12607	95149
117	12729	95148
118	12855	95174
119	12860	94313
120	12866	93467
121	12998	93548
122	13118	93534
123	13244	93563
124	13371	93602
125	13375	92776
126	13386	92020
127	13397	91269
128	13410	90547
129	13414	89770
130	13563	89974
131	13695	90059
132	13699	89307
133	13704	88565
134	13849	88738
135	13851	87997
136	13989	88121
137	13994	87411
138	13996	86699
139	14002	86013
140	14170	86326
